id,name,slug,category,description,price_range,duration,meta_title,meta_description,images,created_at
1,Gutter Cleaning,gutter-cleaning,Gutter cleaning,"Professional gutter cleaning service to prevent water damage and maintain your home's integrity. Our experienced handymen will remove debris, check downspouts, and ensure proper water flow.",$150 - $300,2-4 hours,Professional Gutter Cleaning Services in Greater Sacramento,Expert gutter cleaning services in Greater Sacramento. Prevent water damage with our professional handyman service. Free quotes available. Call now!,"[{""alt"": ""Professional gutter cleaning service in Greater Sacramento"", ""src"": ""/images/services/house1.jpg"", ""width"": 800, ""height"": 600}, {""alt"": ""Gutter cleaning in progress"", ""src"": ""/images/services/house2.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
2,Door Repair,door-repair,Door repair,"Comprehensive door repair services including alignment, hardware replacement, and weatherstripping. We fix all types of doors: entry doors, interior doors, sliding doors, and garage doors.",$100 - $250,1-3 hours,Door Repair Services Greater Sacramento | Professional Solutions,"Expert door repair services in Greater Sacramento. Fix squeaky, stuck, or damaged doors. All door types. Same-day service available.","[{""alt"": ""Professional door repair service in Greater Sacramento"", ""src"": ""/images/services/house3.jpg"", ""width"": 800, ""height"": 600}, {""alt"": ""Door repair and maintenance"", ""src"": ""/images/services/house4.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
3,Furniture Assembly,furniture-assembly,Furniture assembly,"Professional furniture assembly service for all types of furniture. From IKEA to custom pieces, we ensure your furniture is assembled correctly and safely.",$75 - $200,1-4 hours,Furniture Assembly Services Greater Sacramento | Expert Assembly,"Professional furniture assembly in Greater Sacramento. From IKEA to custom pieces. Quick, reliable service with attention to detail.","[{""alt"": ""Professional furniture assembly service"", ""src"": ""/images/services/house5.jpg"", ""width"": 800, ""height"": 600}, {""alt"": ""Furniture assembly in progress"", ""src"": ""/images/services/house6.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
4,Painting,painting,Painting,"Expert interior and exterior painting services. We handle walls, ceilings, trim, and more with professional-grade materials and attention to detail.",$200 - $1000,4-8 hours per room,Professional Painting Services Greater Sacramento | Interior & Exterior,Expert painting services in Greater Sacramento. Interior and exterior painting with premium materials. Free color consultation available.,"[{""alt"": ""Professional painting service"", ""src"": ""/images/services/house7.jpg"", ""width"": 800, ""height"": 600}, {""alt"": ""Interior painting project"", ""src"": ""/images/services/house8.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
5,Drywall Repair,drywall-repair,Drywall repair,"Professional drywall repair services for holes, cracks, water damage, and more. We ensure seamless repairs that match your existing wall texture.",$150 - $500,2-6 hours,Drywall Repair Services Greater Sacramento | Expert Solutions,"Professional drywall repair in Greater Sacramento. Fix holes, cracks, and water damage. Seamless repairs with texture matching.","[{""alt"": ""Professional drywall repair service"", ""src"": ""/images/services/house9.jpg"", ""width"": 800, ""height"": 600}, {""alt"": ""Drywall repair in progress"", ""src"": ""/images/services/house10.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
6,Light Fixture Installation,light-fixture-installation,Light fixture installation,"Professional light fixture installation service. We install all types of lighting fixtures, from ceiling lights to wall sconces, ensuring proper wiring and secure mounting.",$100 - $300,1-3 hours,Light Fixture Installation Greater Sacramento | Professional Installation,Expert light fixture installation in Greater Sacramento. All types of fixtures installed safely and professionally.,"[{""alt"": ""Professional light fixture installation in Greater Sacramento"", ""src"": ""/images/services/house11.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
7,Ceiling Fan Installation,ceiling-fan-installation,Ceiling fan installation,"Expert ceiling fan installation service. We handle assembly, mounting, wiring, and balancing to ensure your fan operates quietly and efficiently.",$150 - $350,2-4 hours,Ceiling Fan Installation Greater Sacramento | Expert Installation,"Professional ceiling fan installation in Greater Sacramento. Proper mounting and wiring for safe, efficient operation.","[{""alt"": ""Professional ceiling fan installation in Greater Sacramento"", ""src"": ""/images/services/house12.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
8,Minor Plumbing,minor-plumbing,Minor plumbing,"Professional minor plumbing repairs including faucet repairs, drain cleaning, toilet repairs, and pipe leak fixes. Quick response for common plumbing issues.",$100 - $300,1-3 hours,Minor Plumbing Services Greater Sacramento | Quick Repairs,"Expert minor plumbing repairs in Greater Sacramento. Fast response for faucets, drains, toilets, and small leaks.","[{""alt"": ""Professional minor plumbing repairs in Greater Sacramento"", ""src"": ""/images/services/house13.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
9,Minor Electrical Work,minor-electrical,Minor electrical work,"Professional minor electrical services including outlet repairs, switch replacements, and basic wiring fixes. All work performed to code by experienced technicians.",$100 - $300,1-3 hours,Minor Electrical Services Greater Sacramento | Professional Repairs,"Expert minor electrical repairs in Greater Sacramento. Safe, code-compliant solutions for common electrical issues.","[{""alt"": ""Professional minor electrical work in Greater Sacramento"", ""src"": ""/images/services/house14.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
10,Carpentry,carpentry,Carpentry,"Professional carpentry services for repairs, installations, and custom woodwork. From trim work to shelving, we handle all your carpentry needs.",$150 - $500,2-8 hours,Carpentry Services Greater Sacramento | Expert Craftsmen,"Professional carpentry services in Greater Sacramento. Quality workmanship for repairs, installations, and custom projects.","[{""alt"": ""Professional carpentry services in Greater Sacramento"", ""src"": ""/images/services/house15.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
